p,q,R,JI
1,1,31,0.8549002018389773
1,1,32,0.8608666215301286
1,1,33,0.8551538288794072
1,1,34,0.8519928347514555
1,1,35,0.8562408388769872
1,1,36,0.8485730274202574
1,1,37,0.8575290010136276
1,1,38,0.8574966231427285
1,1,39,0.852572706935123
1,1,40,0.8456152050683561
1,1,41,0.8527079843662758
1,1,42,0.8631733816206428
1,1,43,0.8484140233722871
1,1,44,0.8567887323943661
1,1,45,0.8576736853957888
1,1,46,0.8543885214662034
1,1,47,0.8530004478280341
1,1,48,0.8515991948110042
1,1,49,0.8359977641140302
1,1,50,0.8341870824053452
1,2,1,0.8469750889679716
1,2,2,0.8438986613563447
1,2,3,0.8336989907854322
1,2,4,0.8444960212201591
1,2,5,0.8391462207063484
1,2,6,0.8400747417014729
1,2,7,0.8481815148481815
1,2,8,0.852539718057731
1,2,9,0.8350742166025289
1,2,10,0.841243500387211
1,2,11,0.8422566371681416
1,2,12,0.8458805240950478
1,2,13,0.8520796064400715
1,2,14,0.8440734557595994
1,2,15,0.838457300275482
1,2,16,0.8442714126807565
1,2,17,0.8464623955431755
1,2,18,0.8442841287458379
1,2,19,0.8469818020417221
1,2,20,0.8407833591502545
1,2,21,0.8495031818689294
1,2,22,0.8496710159473626
1,2,23,0.8505120213713268
1,2,24,0.8471372984991662
1,2,25,0.8512396694214877
1,2,26,0.8441342638750415
1,2,27,0.8474350433044637
1,2,28,0.8430587973769034
1,2,29,0.8508713136729222
1,2,30,0.8501058731750808
1,2,31,0.8415644680145841
1,2,32,0.8418774966711052
1,2,33,0.8402118737585522
1,2,34,0.840929203539823
1,2,35,0.8500889679715302
1,2,36,0.8460681666295389
1,2,37,0.8465814341300723
1,2,38,0.8478816857555876
1,2,39,0.8435389214926364
1,2,40,0.8487750556792873
1,2,41,0.8415360847495034
1,2,42,0.8435072142064373
1,2,43,0.8510566923851056
1,2,44,0.8423678084469571
1,2,45,0.850613154960981
1,2,46,0.8406453751795778
1,2,47,0.8496257401407664
1,2,48,0.8424430183668953
1,2,49,0.8170367915147497
1,2,50,0.8142904545957306
1,3,1,0.839991171926727
1,3,2,0.8454697053918844
1,3,3,0.8382417582417583
1,3,4,0.8434108527131783
1,3,5,0.844
1,3,6,0.8403750689464975
1,3,7,0.8370256635227024
1,3,8,0.8424376731301939
1,3,9,0.8410194174757282
1,3,10,0.8423678084469571
1,3,11,0.8385216147838521
1,3,12,0.8394409596126334
1,3,13,0.8423672566371682
1,3,14,0.8466162065894924
1,3,15,0.8437812049262177
1,3,16,0.8465991316931982
1,3,17,0.843569844789357
1,3,18,0.8390614672835426
1,3,19,0.8446268160141954
1,3,20,0.8450500556173526
1,3,21,0.8422855879752431
1,3,22,0.8484208185053381
1,3,23,0.8399824156500715
1,3,24,0.8374779929577465
1,3,25,0.8503181158611453
1,3,26,0.8467072495849475
1,3,27,0.8438505046024176
1,3,28,0.8447473404255319
1,3,29,0.8473443937200758
1,3,30,0.8457016084303938
1,3,31,0.839143865842895
1,3,32,0.8540431719047087
1,3,33,0.8486842105263158
1,3,34,0.8427401505090748
1,3,35,0.8417854380731411
1,3,36,0.8440336506530883
1,3,37,0.8430181175430844
1,3,38,0.8411524450822386
1,3,39,0.8450891374155686
1,3,40,0.8468558708959377
1,3,41,0.8496877787689563
1,3,42,0.846753536028511
1,3,43,0.8482658959537572
1,3,44,0.8477585441633377
1,3,45,0.8425823568428035
1,3,46,0.8406036571932144
1,3,47,0.8398808210108144
1,3,48,0.8447280799112098
1,3,49,0.8033824331696672
1,3,50,0.810923907058694
2,0,1,0.8746135348677431
2,0,2,0.8738976062306724
2,0,3,0.8716950898477739
2,0,4,0.8719211822660099
2,0,5,0.8719945042363179
2,0,6,0.8752009184845005
2,0,7,0.8718242160677501
2,0,8,0.8703746002740977
2,0,9,0.8770219112079845
2,0,10,0.8709787816563997
2,0,11,0.8762672811059908
2,0,12,0.872284472901898
2,0,13,0.8686880200615525
2,0,14,0.8693363844393592
2,0,15,0.8746553308823529
2,0,16,0.8669171220400729
2,0,17,0.8698833752572604
2,0,18,0.872250229147571
2,0,19,0.8711080586080586
2,0,20,0.8751148897058824
2,0,21,0.8772293176849615
2,0,22,0.8764963167587477
2,0,23,0.8727231068850957
2,0,24,0.872086347456654
2,0,25,0.8709714285714286
2,0,26,0.8712848651120256
2,0,27,0.8814558058925477
2,0,28,0.8756316031235646
2,0,29,0.8743269561232673
2,0,30,0.8774408453939812
2,0,31,0.8807106598984772
2,0,32,0.8747558313225324
2,0,33,0.8708681230698845
2,0,34,0.8729903536977492
2,0,35,0.8722916427834461
2,0,36,0.8731925636906128
2,0,37,0.8729085491634196
2,0,38,0.8716332378223496
2,0,39,0.8720183486238532
2,0,40,0.8654131054131055
2,0,41,0.8737931034482759
2,0,42,0.874367816091954
2,0,43,0.8694710442316461
2,0,44,0.8795751068006004
2,0,45,0.8720238095238095
2,0,46,0.8726165862623478
2,0,47,0.8701906610343646
2,0,48,0.8674588665447898
2,0,49,0.8603567776389047
2,0,50,0.8654220593288283
2,1,1,0.8571428571428571
2,1,2,0.8602551077999774
2,1,3,0.8616708172968078
2,1,4,0.8613279040832486
2,1,5,0.8660075008523695
2,1,6,0.8619521012200633
2,1,7,0.8613312202852615
2,1,8,0.862419518807184
2,1,9,0.8630028328611898
2,1,10,0.8584799278304014
2,1,11,0.8637139929409086
2,1,12,0.8618428490672696
2,1,13,0.8559265068339682
2,1,14,0.8524498262137011
2,1,15,0.8594826612447758
2,1,16,0.8642143505903724
2,1,17,0.8649568769859283
2,1,18,0.8623967409754442
2,1,19,0.8676437173369689
2,1,20,0.8644971085157047
2,1,21,0.8643952299829643
2,1,22,0.8636724509470342
2,1,23,0.8656274889065878
2,1,24,0.8600316312697696
2,1,25,0.8584788732394366
2,1,26,0.8619521012200633
2,1,27,0.8559828577873012
2,1,28,0.8613906161673262
2,1,29,0.8595658073270014
2,1,30,0.8633484162895928
2,1,31,0.8597636465953855
2,1,32,0.858349284990429
2,1,33,0.8600451467268623
2,1,34,0.8606381779231029
2,1,35,0.867782712675094
2,1,36,0.864235401045217
2,1,37,0.8605442176870748
2,1,38,0.8527531681058652
2,1,39,0.8615594453284837
2,1,40,0.8619909502262444
2,1,41,0.8626361161524501
2,1,42,0.8586870847877491
2,1,43,0.8597423146473779
2,1,44,0.8652297220646625
2,1,45,0.8676621452182833
2,1,46,0.8589352322821295
2,1,47,0.8603598506280412
2,1,48,0.858349284990429
2,1,49,0.8226334198352703
2,1,50,0.8140838753083651
2,2,1,0.8515229852759357
2,2,2,0.860042855531747
2,2,3,0.8684662015326547
2,2,4,0.8590770619429087
2,2,5,0.8573354302403954
2,2,6,0.8628358545947167
